task,n_epochs_total,n_epochs_used,Frontal_delta_relpower,Frontal_theta_relpower,Frontal_alpha_relpower,Frontal_beta_relpower,Frontal_theta_alpha_ratio,Frontal_theta_beta_ratio,Frontal_entropy,Central_delta_relpower,Central_theta_relpower,Central_alpha_relpower,Central_beta_relpower,Central_theta_alpha_ratio,Central_theta_beta_ratio,Central_entropy,Parietal_delta_relpower,Parietal_theta_relpower,Parietal_alpha_relpower,Parietal_beta_relpower,Parietal_theta_alpha_ratio,Parietal_theta_beta_ratio,Parietal_entropy,Temporal_delta_relpower,Temporal_theta_relpower,Temporal_alpha_relpower,Temporal_beta_relpower,Temporal_theta_alpha_ratio,Temporal_theta_beta_ratio,Temporal_entropy,Occipital_delta_relpower,Occipital_theta_relpower,Occipital_alpha_relpower,Occipital_beta_relpower,Occipital_theta_alpha_ratio,Occipital_theta_beta_ratio,Occipital_entropy
3A,3,3,0.29863956116368523,0.12372810532107752,0.19693365708383923,0.288200378633861,0.6469459221199655,0.4291776604733554,0.4951409059947351,0.24476191591856092,0.11261276522539039,0.2265615886386467,0.3253999903447598,0.5036736424819531,0.34717224000937374,0.4802802170571112,0.23745686220077677,0.11151835486821626,0.22315585948986394,0.338910578403268,0.5053111770999824,0.32892996705473126,0.49893319354293225,0.18837527264120416,0.08622320704590854,0.24237363598689152,0.35923726667840256,0.3590532816614635,0.24272431979350403,0.5424920199482614,0.17088831553633158,0.13789686445747862,0.1677641069227124,0.381915491720415,0.8398418521589583,0.3612194214674879,0.5645113220792309
3B,3,3,0.30266098832712235,0.14457670860771635,0.17642004461649882,0.27654428210875154,0.8273947787183538,0.5233692033385345,0.4961053086049055,0.2876608501122388,0.1239269564567284,0.19621750674494662,0.30610438878733887,0.6354166130743021,0.40695580990542163,0.4799181503444749,0.2738454667715861,0.11428379373890114,0.18075179142800782,0.34674560619481487,0.633263106391153,0.3304108310502492,0.5069416619870438,0.20611668841978636,0.09097629892672184,0.19213460035132027,0.387252152125614,0.4803445288622384,0.2352546398840535,0.5615374214877178,0.1749057575613788,0.14323226822993895,0.1627498881406579,0.37795160501915975,0.882729320092125,0.37904036098550814,0.5795616426489003
4,3,3,0.33916286405963203,0.13430037891736193,0.17699628023386849,0.251439965329938,0.7679908385798458,0.5353619059782818,0.48803880965655094,0.2955379188979544,0.12493581291728029,0.19639441641243302,0.28728723755028035,0.6439726548784357,0.43512777437385736,0.48802837604067834,0.28453858478530625,0.1318121958042735,0.18257044574378348,0.3076677291677508,0.7241143809819864,0.42827417465259865,0.5073932283701429,0.21900139119009646,0.09494251389422277,0.1981954465799817,0.3620752954279041,0.4847425587225225,0.2634881353128182,0.5555177958305931,0.1985412476170539,0.14579972093484192,0.1723171935319109,0.3458615952706852,0.8484437705349978,0.4215578137320301,0.5737590194892411
5,2,2,0.39275489777461164,0.12551278165091612,0.15258725679519541,0.23036954988974262,0.8258597965642486,0.5460804255523137,0.4855577774937385,0.30012240636023546,0.12152407356125217,0.18466522907006766,0.2858639334817503,0.6591480938987575,0.42559181390209233,0.5060099298032426,0.292576092452714,0.1153170321015704,0.15734380852566332,0.3315447359957881,0.7337237229091685,0.3501784200290881,0.5217606220271687,0.1911823676585661,0.07655772486065024,0.14227411721127198,0.4322892614691639,0.5358763263312669,0.18031100268919767,0.5773866231951198,0.2046860999669306,0.12351578653830678,0.14193838959834326,0.3730056689935275,0.8687727819267719,0.33463593357496546,0.5856884553290906
6,2,2,0.43382933911393184,0.12266194401022287,0.14536279998030185,0.2058434535682089,0.8454425283375979,0.5960324485324648,0.46670340270644106,0.359477022026376,0.11846089880735455,0.18033328862929998,0.2514141912997413,0.6589931135478009,0.4716726461588706,0.481297135965716,0.298828647182583,0.11817330241108276,0.17538666794529273,0.3158832510522316,0.674768507959398,0.3742189823649814,0.511617874917949,0.21859291456167254,0.07707051878323368,0.1769442692647415,0.38525477635088706,0.43565439908687825,0.20001749992006418,0.5680342256292217,0.1973813448454057,0.12568673414751813,0.15281669019596764,0.3840098176104363,0.8234611253307036,0.327335724807502,0.580492456786651
